happiness_rank,country,happiness_score,economy,health,freedom,generosity,corruption
38,Slovakia,6.1980,1.2460,0.8810,0.3340,0.1210,0.0140
44,Slovenia,6.1180,1.2580,0.9530,0.5640,0.1440,0.0570
112,Somalia,4.6680,0.0000,0.2680,0.5590,0.2430,0.2700
106,South Africa,4.7220,0.9600,0.4690,0.3890,0.1300,0.0550
54,South Korea,5.8950,1.3010,1.0360,0.1590,0.1750,0.0560
30,Spain,6.3540,1.2860,1.0620,0.3620,0.1530,0.0790
130,Sri Lanka,4.3660,0.9490,0.8310,0.4700,0.2440,0.0470
7,Sweden,7.3430,1.3870,1.0090,0.5740,0.2670,0.3730
6,Switzerland,7.4800,1.4520,1.0520,0.5720,0.2630,0.3430
149,Syria,3.4620,0.6190,0.4400,0.0130,0.3310,0.1410
25,Taiwan,6.4460,1.3680,0.9140,0.3510,0.2420,0.0970
74,Tajikistan,5.4670,0.4930,0.7180,0.3890,0.2300,0.1440
153,Tanzania,3.2310,0.4760,0.4990,0.4170,0.2760,0.1470
52,Thailand,6.0080,1.0500,0.8280,0.5570,0.3590,0.0280
139,Togo,4.0850,0.2750,0.4100,0.2930,0.1770,0.0850
39,Trinidad and Tobago,6.1920,1.2310,0.7130,0.4890,0.1850,0.0160
124,Tunisia,4.4610,0.9210,0.8150,0.1670,0.0590,0.0550
79,Turkey,5.3730,1.1830,0.8080,0.1950,0.0830,0.1060
87,Turkmenistan,5.2470,1.0520,0.6570,0.3940,0.2440,0.0280
136,Uganda,4.1890,0.3320,0.4430,0.3560,0.2520,0.0600
133,Ukraine,4.3320,0.8200,0.7390,0.1780,0.1870,0.0100
21,United Arab Emirates,6.8250,1.5030,0.8250,0.5980,0.2620,0.1820
15,United Kingdom,7.0540,1.3330,0.9960,0.4500,0.3480,0.2780
19,United States,6.8920,1.4330,0.8740,0.4540,0.2800,0.1280
33,Uruguay,6.2930,1.1240,0.8910,0.5230,0.1270,0.1500
41,Uzbekistan,6.1740,0.7450,0.7560,0.6310,0.3220,0.2400
108,Venezuela,4.7070,0.9600,0.8050,0.1540,0.0640,0.0470
94,Vietnam,5.1750,0.7410,0.8510,0.5430,0.1470,0.0730
151,Yemen,3.3800,0.2870,0.4630,0.1430,0.1080,0.0770
138,Zambia,4.1070,0.5780,0.4260,0.4310,0.2470,0.0870
146,Zimbabwe,3.6630,0.3660,0.4330,0.3610,0.1510,0.0890
